Protein	EC number
Q9UUJ6	non Enzyme
Q96JN8	non Enzyme
Q8LCG7	non Enzyme
Q3YL57	non Enzyme
Q95MI1	non Enzyme
P49011	non Enzyme
Q9D6Z1	non Enzyme
O13870	non Enzyme
Q8CJ00	non Enzyme
Q93594	non Enzyme
C1BY64	non Enzyme
F4JI44	non Enzyme
P10218	non Enzyme
P18092	non Enzyme
Q8NCF5	non Enzyme
Q9WTM4	non Enzyme
Q92021	non Enzyme
Q29075	non Enzyme
Q06162	non Enzyme
O44662	non Enzyme
Q42589	non Enzyme
P46970	non Enzyme
P47149	non Enzyme
P48234	non Enzyme
Q08208	non Enzyme
P97459	non Enzyme
Q12200	non Enzyme
Q8JGR6	non Enzyme
P52299	non Enzyme
Q9VN12	non Enzyme
P34333	non Enzyme
Q91614	non Enzyme
P84189	non Enzyme
Q06568	non Enzyme
Q9C503	non Enzyme
Q9SKC9	non Enzyme
O43677	non Enzyme
Q55190	non Enzyme
Q7DDJ2	non Enzyme
P91829	non Enzyme
Q9XYB7	non Enzyme
B3A0M7	non Enzyme
P76242	non Enzyme
P33420	non Enzyme
Q5VXU1	non Enzyme
Q5H8A2	non Enzyme
Q02371	non Enzyme
Q99LC3	non Enzyme
P06020	non Enzyme
Q08972	non Enzyme
Q02916	non Enzyme
P08552	non Enzyme
Q9U3Z7	non Enzyme
Q87KV8	non Enzyme
Q9CRB2	non Enzyme
Q12493	non Enzyme
Q9BVI4	non Enzyme
O94818	non Enzyme
Q9UMY1	non Enzyme
Q8R5K4	non Enzyme
Q09314	non Enzyme
Q07623	non Enzyme
Q52527	non Enzyme
B1XCN7	non Enzyme
P51860	non Enzyme
O94183	non Enzyme
Q9W0W6	non Enzyme
Q1ECW2	non Enzyme
E7FFX1	non Enzyme
Q0WL52	non Enzyme
Q0MQ90	non Enzyme
Q9VBX1	non Enzyme
Q9CQ45	non Enzyme
Q9Z2J4	non Enzyme
Q95W85	non Enzyme
P17926	non Enzyme
P16053	non Enzyme
Q9LXV5	non Enzyme
Q03696	non Enzyme
Q9NPE2	non Enzyme
Q3KNJ2	non Enzyme
Q84WG1	non Enzyme
P35449	non Enzyme
Q9FNZ5	non Enzyme
Q92982	non Enzyme
Q9NZG7	non Enzyme
Q8XAL7	non Enzyme
P38861	non Enzyme
Q4QXT8	non Enzyme
Q13823	non Enzyme
Q08287	non Enzyme
Q9LX90	non Enzyme
P01302	non Enzyme
Q9ULR5	non Enzyme
P79020	non Enzyme
Q9ULE6	non Enzyme
O93956	non Enzyme
Q6UXH9	non Enzyme
Q7SDP4	non Enzyme
P60572	non Enzyme
Q9W2H9	non Enzyme
O49629	non Enzyme
O82291	non Enzyme
Q9LDL7	non Enzyme
Q95VF0	non Enzyme
Q09460	non Enzyme
Q90YM5	non Enzyme
Q90YM4	non Enzyme
P06308	non Enzyme
Q9LJV9	non Enzyme
P22536	non Enzyme
Q9P6M8	non Enzyme
Q9CQX4	non Enzyme
Q28755	non Enzyme
P10601	non Enzyme
P53179	non Enzyme
P15319	non Enzyme
Q8IY49	non Enzyme
Q79EC5	non Enzyme
Q93V72	non Enzyme
Q9T042	non Enzyme
Q63371	non Enzyme
Q92143	non Enzyme
Q8LAP6	non Enzyme
Q21738	non Enzyme
Q9Y5I4	non Enzyme
Q9Y5F6	non Enzyme
O60245	non Enzyme
Q9H4Z3	non Enzyme
P38794	non Enzyme
Q08966	non Enzyme
Q93V99	non Enzyme
O70400	non Enzyme
Q10177	non Enzyme
P57723	non Enzyme
O60330	non Enzyme
Q9UN70	non Enzyme
Q7XK25	non Enzyme
Q95104	non Enzyme
P9WIG7	non Enzyme
Q97FU2	non Enzyme
Q03355	non Enzyme
Q8RY16	non Enzyme
Q17827	non Enzyme
P53896	non Enzyme
Q29011	non Enzyme
A6NDB9	non Enzyme
P86242	non Enzyme
Q6P9X9	non Enzyme
O73622	non Enzyme
Q07868	non Enzyme
P59676	non Enzyme
O23215	non Enzyme
Q96RV3	non Enzyme
P18490	non Enzyme
Q9DAN1	non Enzyme
P40550	non Enzyme
P13696	non Enzyme
Q28409	non Enzyme
P25625	non Enzyme
Q9LYK7	non Enzyme
Q9VPT5	non Enzyme
Q04370	non Enzyme
Q92266	non Enzyme
Q02969	non Enzyme
Q08580	non Enzyme
A0QNG3	non Enzyme
Q9UN71	non Enzyme
P48539	non Enzyme
O76217	non Enzyme
P91679	non Enzyme
P50369	non Enzyme
Q42496	non Enzyme
P0C1D4	non Enzyme
P50091	non Enzyme
Q54Q99	non Enzyme
P72504	non Enzyme
Q06253	non Enzyme
I0J062	non Enzyme
Q8S9M1	non Enzyme
Q9LU85	non Enzyme
A2ARM1	non Enzyme
O32032	non Enzyme
P38126	non Enzyme
D4N4Z9	non Enzyme
P53124	non Enzyme
Q95142	non Enzyme
O94651	non Enzyme
O74925	non Enzyme
Q874R4	non Enzyme
Q8IDN0	non Enzyme
P53903	non Enzyme
P20740	non Enzyme
P83859	non Enzyme
O00398	non Enzyme
Q15391	non Enzyme
Q9DDY9	non Enzyme
Q93VI4	non Enzyme
Q9BSG0	non Enzyme
Q75RY2	non Enzyme
P36147	non Enzyme
Q10172	non Enzyme
Q75BU9	non Enzyme
Q9LUJ7	non Enzyme
P09791	non Enzyme
Q9LIA6	non Enzyme
Q3E833	non Enzyme
Q9P2E7	non Enzyme
Q9Y5E6	non Enzyme
Q9P6J2	non Enzyme
P0C214	non Enzyme
Q4YSU6	non Enzyme
O49668	non Enzyme
Q9UST1	non Enzyme
P13720	non Enzyme
Q9ES46	non Enzyme
O14917	non Enzyme
Q8N6Y1	non Enzyme
Q9Y5H0	non Enzyme
Q9SD84	non Enzyme
Q15269	non Enzyme
Q9Y6I8	non Enzyme
Q9D0P5	non Enzyme
P10631	non Enzyme
P37299	non Enzyme
Q6J9S1	non Enzyme
Q9LNW1	non Enzyme
P22127	non Enzyme
Q9WTL2	non Enzyme
Q9VP48	non Enzyme
P04550	non Enzyme
Q96A99	non Enzyme
Q6IQE0	non Enzyme
Q94GB1	non Enzyme
Q09476	non Enzyme
P13271	non Enzyme
Q941C7	non Enzyme
Q9FYE5	non Enzyme
Q6ISU1	non Enzyme
P49190	non Enzyme
Q3KNS1	non Enzyme
Q9SX20	non Enzyme
P32901	non Enzyme
Q9LK22	non Enzyme
F4JPR7	non Enzyme
Q13610	non Enzyme
O14200	non Enzyme
Q9NR77	non Enzyme
P04871	non Enzyme
Q12318	non Enzyme
Q61038	non Enzyme
O76942	non Enzyme
P17334	non Enzyme
P00259	non Enzyme
Q9ZU93	non Enzyme
Q94JZ8	non Enzyme
O14957	non Enzyme
B8XCH5	non Enzyme
Q9FM96	non Enzyme
P27684	non Enzyme
Q9FGL9	non Enzyme
O75127	non Enzyme
P48533	non Enzyme
P25339	non Enzyme
X1WGX5	non Enzyme
P0C8G6	non Enzyme
Q9XI37	non Enzyme
P36166	non Enzyme
P29986	non Enzyme
Q9FJ50	non Enzyme
Q91826	non Enzyme
Q5F433	non Enzyme
P06601	non Enzyme
F4J264	non Enzyme
Q00723	non Enzyme
Q9LZJ7	non Enzyme
Q05437	non Enzyme
O74894	non Enzyme
Q9SSB4	non Enzyme
P83266	non Enzyme
P02621	non Enzyme
P36110	non Enzyme
P27202	non Enzyme
P80470	non Enzyme
P0AG82	non Enzyme
P52212	non Enzyme
Q9ZQS5	non Enzyme
Q55332	non Enzyme
Q9F1L5	non Enzyme
Q39194	non Enzyme
Q41387	non Enzyme
P02781	non Enzyme
P95434	non Enzyme
P50086	non Enzyme
Q9MAT0	non Enzyme
Q9VQY9	non Enzyme
Q18115	non Enzyme
Q967U1	non Enzyme
Q09614	non Enzyme
P0C6B2	non Enzyme
Q8RX77	non Enzyme
P43606	non Enzyme
Q2V4B2	non Enzyme
Q9SIY7	non Enzyme
P81277	non Enzyme
Q63347	non Enzyme
P49107	non Enzyme
Q9FRF9	non Enzyme
Q9SIK7	non Enzyme
P10355	non Enzyme
O01322	non Enzyme
Q55BV5	non Enzyme
P34123	non Enzyme
P09193	non Enzyme
P0A431	non Enzyme
Q12488	non Enzyme
O94329	non Enzyme
Q9UTC3	non Enzyme
Q9M2Y0	non Enzyme
P25161	non Enzyme
Q9VYG1	non Enzyme
Q8GXN2	non Enzyme
Q9M817	non Enzyme
Q06991	non Enzyme
Q6K9U2	non Enzyme
Q9CAQ8	non Enzyme
Q12192	non Enzyme
O94466	non Enzyme
P52651	non Enzyme
O42656	non Enzyme
Q9SRX2	non Enzyme
P67984	non Enzyme
P05747	non Enzyme
O04603	non Enzyme
P42794	non Enzyme
P0CX49	non Enzyme
P40212	non Enzyme
Q9MAP3	non Enzyme
P27683	non Enzyme
P82244	non Enzyme
P82180	non Enzyme
O61231	non Enzyme
Q07844	non Enzyme
P36210	non Enzyme
P82413	non Enzyme
Q9LY66	non Enzyme
P36144	non Enzyme
O74109	non Enzyme
P42791	non Enzyme
P05749	non Enzyme
Q5SLP7	non Enzyme
P0CX23	non Enzyme
Q02753	non Enzyme
P14116	non Enzyme
P38666	non Enzyme
Q20757	non Enzyme
O13729	non Enzyme
Q9SKZ1	non Enzyme
P15380	non Enzyme
O14001	non Enzyme
Q38834	non Enzyme
Q8LD46	non Enzyme
Q9Y2K5	non Enzyme
Q9LM15	non Enzyme
P83663	non Enzyme
Q9HGP0	non Enzyme
Q9Z210	non Enzyme
Q9FJ49	non Enzyme
P0DH76	non Enzyme
Q9SUU5	non Enzyme
P00128	non Enzyme
P08525	non Enzyme
Q5A6P6	non Enzyme
Q00784	non Enzyme
Q945T0	non Enzyme
Q6DKI7	non Enzyme
P46912	non Enzyme
Q3E7K4	non Enzyme
O82480	non Enzyme
Q9USX3	non Enzyme
Q38942	non Enzyme
P52076	non Enzyme
O15541	non Enzyme
P51418	non Enzyme
O49841	non Enzyme
D4GUK1	non Enzyme
Q93454	non Enzyme
Q91830	non Enzyme
Q9C820	non Enzyme
P15258	non Enzyme
Q8R4C4	non Enzyme
P51126	non Enzyme
Q9FG68	non Enzyme
Q47152	non Enzyme
Q8HZJ5	non Enzyme
Q59ZX3	non Enzyme
O31743	non Enzyme
Q6NZZ9	non Enzyme
Q9BX46	non Enzyme
Q5T8P6	non Enzyme
Q3UZ01	non Enzyme
Q9LEB3	non Enzyme
P56968	non Enzyme
P78761	non Enzyme
P40474	non Enzyme
P38227	non Enzyme
G5EC21	non Enzyme
P42798	non Enzyme
Q9V8W3	non Enzyme
Q9GPS0	non Enzyme
O93310	non Enzyme
C6KSQ6	non Enzyme
Q9I8G9	non Enzyme
Q80YT9	non Enzyme
P77212	non Enzyme
P77379	non Enzyme
Q9UDW1	non Enzyme
Q79VE8	non Enzyme
P15325	non Enzyme
Q6WBX8	non Enzyme
P0AGL5	non Enzyme
Q8IY67	non Enzyme
Q9HCJ3	non Enzyme
O35698	non Enzyme
Q6PGA0	non Enzyme
P40379	non Enzyme
P42443	non Enzyme
Q07809	non Enzyme
P05824	non Enzyme
Q39222	non Enzyme
Q969Q5	non Enzyme
P51158	non Enzyme
P35278	non Enzyme
P40220	non Enzyme
Q9SIJ5	non Enzyme
Q9M2Y9	non Enzyme
Q5SFM8	non Enzyme
Q9JHG2	non Enzyme
P53721	non Enzyme
Q62703	non Enzyme
Q06835	non Enzyme
P05651	non Enzyme
Q99NH3	non Enzyme
Q8GXF0	non Enzyme
Q96283	non Enzyme
P51152	non Enzyme
P34213	non Enzyme
Q9MBA3	non Enzyme
Q12223	non Enzyme
O74387	non Enzyme
Q08760	non Enzyme
P76425	non Enzyme
Q9D8T3	non Enzyme
P42445	non Enzyme
Q8VCD6	non Enzyme
Q6AZM3	non Enzyme
Q5U4E2	non Enzyme
Q7G1L2	non Enzyme
P68438	non Enzyme
P09108	non Enzyme
Q8VZE7	non Enzyme
Q9LHS9	non Enzyme
Q9FZ84	non Enzyme
Q9BTD8	non Enzyme
P02925	non Enzyme
Q8QG64	non Enzyme
O13800	non Enzyme
O75628	non Enzyme
Q8LLD4	non Enzyme
P25560	non Enzyme
P47940	non Enzyme
Q2EI20	non Enzyme
P82980	non Enzyme
Q19537	non Enzyme
Q6NY74	non Enzyme
Q9EP71	non Enzyme
Q09717	non Enzyme
Q6ZTQ3	non Enzyme
Q09309	non Enzyme
Q59TP1	non Enzyme
Q9UKA8	non Enzyme
Q18919	non Enzyme
Q9JM62	non Enzyme
Q8NC24	non Enzyme
P12661	non Enzyme
Q9EP95	non Enzyme
P43352	non Enzyme
P55042	non Enzyme
P41838	non Enzyme
Q4R379	non Enzyme
Q8R4C6	non Enzyme
Q7TN89	non Enzyme
Q9VKB9	non Enzyme
Q8BMG7	non Enzyme
Q3V089	non Enzyme
Q13YL3	non Enzyme
P38212	non Enzyme
Q94CJ5	non Enzyme
P30775	non Enzyme
P54292	non Enzyme
Q1G3K8	non Enzyme
O07434	non Enzyme
Q80UW3	non Enzyme
Q0D2K3	non Enzyme
Q9LQQ2	non Enzyme
Q52NJ6	non Enzyme
P35289	non Enzyme
Q9LKX9	non Enzyme
Q9H4I0	non Enzyme
Q7Z3Z2	non Enzyme
P35243	non Enzyme
Q9H6H4	non Enzyme
Q9ZQ18	non Enzyme
O50462	non Enzyme
Q8CHX7	non Enzyme
Q7XA40	non Enzyme
Q86X27	non Enzyme
Q8WQC0	non Enzyme
P19056	non Enzyme
P51751	non Enzyme
Q8RY99	non Enzyme
P15252	non Enzyme
Q6AXS4	non Enzyme
Q6BDI9	non Enzyme
P03872	non Enzyme
P35160	non Enzyme
P50120	non Enzyme
Q10Q08	non Enzyme
Q6ID76	non Enzyme
Q93VK8	non Enzyme
P85298	non Enzyme
Q14CB8	non Enzyme
Q9P2N2	non Enzyme
Q5EAP5	non Enzyme
O14014	non Enzyme
Q53QZ3	non Enzyme
P42331	non Enzyme
Q6TLK4	non Enzyme
Q9JIR3	non Enzyme
P82192	non Enzyme
Q39199	non Enzyme
Q6NUK4	non Enzyme
Q00765	non Enzyme
P48304	non Enzyme
P82943	non Enzyme
O33347	non Enzyme
Q8IUW5	non Enzyme
Q9CQU3	non Enzyme
P02694	non Enzyme
Q99P86	non Enzyme
P38927	non Enzyme
O94697	non Enzyme
Q2KHR2	non Enzyme
Q54SS8	non Enzyme
Q6DSU1	non Enzyme
Q09777	non Enzyme
Q06624	non Enzyme
B2RQE8	non Enzyme
Q9NIV0	non Enzyme
P53879	non Enzyme
P91124	non Enzyme
Q9SD82	non Enzyme
Q8U4J3	non Enzyme
Q7XA42	non Enzyme
Q9NZL6	non Enzyme
O15211	non Enzyme
O94810	non Enzyme
Q00246	non Enzyme
Q96UP3	non Enzyme
P38127	non Enzyme
O15034	non Enzyme
P87243	non Enzyme
P09594	non Enzyme
Q9LWB5	non Enzyme
P22969	non Enzyme
Q9XIB5	non Enzyme
Q9WTY2	non Enzyme
Q92373	non Enzyme
P40809	non Enzyme
P49806	non Enzyme
Q9Z2H1	non Enzyme
Q61085	non Enzyme
Q9SYL9	non Enzyme
P06509	non Enzyme
P42923	non Enzyme
Q7XII4	non Enzyme
O75570	non Enzyme
Q10164	non Enzyme
Q9FGF6	non Enzyme
Q8BP97	non Enzyme
Q9BYZ6	non Enzyme
Q19KI0	non Enzyme
P06781	non Enzyme
Q96WY0	non Enzyme
Q9LE95	non Enzyme
P51412	non Enzyme
P50883	non Enzyme
P14291	non Enzyme
Q21194	non Enzyme
P33460	non Enzyme
O74335	non Enzyme
Q8JZL7	non Enzyme
Q99666	non Enzyme
Q9XVW1	non Enzyme
Q8GYU0	non Enzyme
P32445	non Enzyme
P31164	non Enzyme
Q9FLN4	non Enzyme
Q9FWS4	non Enzyme
P51414	non Enzyme
P53221	non Enzyme
Q9JJI8	non Enzyme
Q7TQP4	non Enzyme
P12970	non Enzyme
P46286	non Enzyme
Q03223	non Enzyme
Q8TDU9	non Enzyme
Q9LXD1	non Enzyme
Q8BQZ4	non Enzyme
P47915	non Enzyme
Q8JHJ1	non Enzyme
P62945	non Enzyme
P38516	non Enzyme
Q5SHN9	non Enzyme
Q9FZ76	non Enzyme
P62910	non Enzyme
P0CX25	non Enzyme
Q5SHQ0	non Enzyme
O24573	non Enzyme
O74331	non Enzyme
Q12487	non Enzyme
Q8TCC3	non Enzyme
Q9BQ48	non Enzyme
Q9P0J6	non Enzyme
P34560	non Enzyme
Q9UT91	non Enzyme
Q9ULX5	non Enzyme
P04449	non Enzyme
P18138	non Enzyme
B9DHA6	non Enzyme
P0CX86	non Enzyme
P51998	non Enzyme
O16797	non Enzyme
O24413	non Enzyme
Q1MTN9	non Enzyme
O60102	non Enzyme
Q5T653	non Enzyme
P36519	non Enzyme
P31334	non Enzyme
P36521	non Enzyme
Q9BYD1	non Enzyme
Q9NRX2	non Enzyme
P53875	non Enzyme
Q9BYC9	non Enzyme
P05389	non Enzyme
Q7Z2W9	non Enzyme
Q9P0M9	non Enzyme
P25348	non Enzyme
Q9NZE8	non Enzyme
P36532	non Enzyme
P36534	non Enzyme
P32387	non Enzyme
Q9VE04	non Enzyme
Q8WVD5	non Enzyme
P60153	non Enzyme
P32410	non Enzyme
P04650	non Enzyme
P36520	non Enzyme
Q9P015	non Enzyme
P36528	non Enzyme
P36525	non Enzyme
P36526	non Enzyme
Q3UJU9	non Enzyme
Q9C106	non Enzyme
P25441	non Enzyme
Q9C0Z9	non Enzyme
Q69Z08	non Enzyme
P82277	non Enzyme
P21472	non Enzyme
Q63871	non Enzyme
Q9M3K7	non Enzyme
Q9C5J3	non Enzyme
P36070	non Enzyme
P32786	non Enzyme
Q91YK2	non Enzyme
O60124	non Enzyme
Q9Y3A4	non Enzyme
Q9FFS8	non Enzyme
Q0WVE8	non Enzyme
O94703	non Enzyme
P37382	non Enzyme
Q9UHV5	non Enzyme
P32496	non Enzyme
Q5VT52	non Enzyme
P19940	non Enzyme
Q05468	non Enzyme
P29344	non Enzyme
Q08746	non Enzyme
P38902	non Enzyme
Q9FJ98	non Enzyme
Q9N1T2	non Enzyme
P13788	non Enzyme
P82403	non Enzyme
P25368	non Enzyme
P59224	non Enzyme
P0CX51	non Enzyme
Q5JTH9	non Enzyme
O65686	non Enzyme
P97762	non Enzyme
Q9P1U0	non Enzyme
O74635	non Enzyme
F4JNA9	non Enzyme
Q9JJ72	non Enzyme
P10726	non Enzyme
Q6XPR3	non Enzyme
Q9C5Z6	non Enzyme
P42732	non Enzyme
Q96E11	non Enzyme
Q10360	non Enzyme
O14013	non Enzyme
Q14684	non Enzyme
O13903	non Enzyme
P82278	non Enzyme
Q04712	non Enzyme
Q06511	non Enzyme
Q9SP08	non Enzyme
F4J8K6	non Enzyme
Q08112	non Enzyme
P80380	non Enzyme
P0CX31	non Enzyme
P9WGH0	non Enzyme
P06508	non Enzyme
P09595	non Enzyme
P0DOY7	non Enzyme
Q9BSF0	non Enzyme
Q9VI10	non Enzyme
P01170	non Enzyme
P32909	non Enzyme
Q93X17	non Enzyme
O94663	non Enzyme
Q80U23	non Enzyme
Q9T014	non Enzyme
Q7TME2	non Enzyme
Q60854	non Enzyme
Q04969	non Enzyme
P54217	non Enzyme
P03275	non Enzyme
Q0Q466	non Enzyme
Q91AV1	non Enzyme
P48010	non Enzyme
Q5BIV9	non Enzyme
P35323	non Enzyme
Q5ZI08	non Enzyme
O60097	non Enzyme
I7C2V3	non Enzyme
P12114	non Enzyme
Q20411	non Enzyme
A3KNA7	non Enzyme
Q9UJW9	non Enzyme
Q9R803	non Enzyme
Q9NQ55	non Enzyme
Q59YF0	non Enzyme
O13788	non Enzyme
Q9P7Y0	non Enzyme
Q7Z992	non Enzyme
Q5TAH2	non Enzyme
G5EFX6	non Enzyme
P22807	non Enzyme
Q9I841	non Enzyme
P51834	non Enzyme
Q8TZY2	non Enzyme
Q8W119	non Enzyme
O14362	non Enzyme
O48713	non Enzyme
O80875	non Enzyme
Q9P7S6	non Enzyme
P39543	non Enzyme
Q8BVK9	non Enzyme
P81121	non Enzyme
Q7TT00	non Enzyme
Q28H91	non Enzyme
P00726	non Enzyme
Q37935	non Enzyme
P46965	non Enzyme
P58515	non Enzyme
P48009	non Enzyme
Q22236	non Enzyme
P17123	non Enzyme
Q03029	non Enzyme
Q8SWR3	non Enzyme
Q9NUQ6	non Enzyme
Q9I6J0	non Enzyme
Q9BXG8	non Enzyme
A0SIF1	non Enzyme
Q12420	non Enzyme
O94291	non Enzyme
Q9UNH6	non Enzyme
Q86UG4	non Enzyme
Q3KNW5	non Enzyme
Q8WXH5	non Enzyme
P34745	non Enzyme
Q96PQ0	non Enzyme
Q04892	non Enzyme
Q8IXZ3	non Enzyme
Q9USV3	non Enzyme
Q27967	non Enzyme
P34714	non Enzyme
Q9BXB7	non Enzyme
P34703	non Enzyme
Q2FUW1	non Enzyme
P36167	non Enzyme
Q9FJJ3	non Enzyme
P25567	non Enzyme
A8E5V9	non Enzyme
O74453	non Enzyme
A7XUX6	non Enzyme
Q8R4D1	non Enzyme
Q2TAY7	non Enzyme
P83351	non Enzyme
Q54NP6	non Enzyme
P19382	non Enzyme
Q9VQF9	non Enzyme
Q7JYV2	non Enzyme
O48686	non Enzyme
P91868	non Enzyme
Q10077	non Enzyme
P53207	non Enzyme
Q6PV67	non Enzyme
Q0P5V2	non Enzyme
U3H042	non Enzyme
Q04890	non Enzyme
P31340	non Enzyme
Q29KT5	non Enzyme
Q6NSW3	non Enzyme
Q700C2	non Enzyme
Q9S840	non Enzyme
Q10411	non Enzyme
P35326	non Enzyme
Q925E8	non Enzyme
Q8LBH4	non Enzyme
P59222	non Enzyme
Q9FXH7	non Enzyme
P07665	non Enzyme
Q8W1Y0	non Enzyme
P38789	non Enzyme
Q9M1B4	non Enzyme
Q8IYB5	non Enzyme
Q9LFS8	non Enzyme
P38778	non Enzyme
C0HIA3	non Enzyme
P54661	non Enzyme
Q9DC77	non Enzyme
Q06091	non Enzyme
Q9U9R7	non Enzyme
Q8TER0	non Enzyme
Q9LUB6	non Enzyme
P53628	non Enzyme
G5EBN9	non Enzyme
Q8BP86	non Enzyme
P40657	non Enzyme
Q62252	non Enzyme
P38282	non Enzyme
Q96P15	non Enzyme
Q10430	non Enzyme
Q700C7	non Enzyme
P91349	non Enzyme
P40092	non Enzyme
P86716	non Enzyme
O60165	non Enzyme
C6Y4C9	non Enzyme
O43031	non Enzyme
P35184	non Enzyme
P25648	non Enzyme
Q9FG24	non Enzyme
Q6R2J8	non Enzyme
P27206	non Enzyme
Q08787	non Enzyme
Q9CZ91	non Enzyme
Q55F37	non Enzyme
P0CB65	non Enzyme
Q6P4A7	non Enzyme
Q06132	non Enzyme
O64483	non Enzyme
Q11099	non Enzyme
Q9FMT4	non Enzyme
O94538	non Enzyme
Q3UR97	non Enzyme
O14243	non Enzyme
Q9H2Y9	non Enzyme
Q9VQS7	non Enzyme
P53438	non Enzyme
Q9W7R5	non Enzyme
P15269	non Enzyme
A0A1B0GVQ0	non Enzyme
P10946	non Enzyme
Q9H0A9	non Enzyme
Q12133	non Enzyme
P87027	non Enzyme
Q6P3D7	non Enzyme
P07946	non Enzyme
Q8S9L0	non Enzyme
Q9M2Q6	non Enzyme
Q9S7A9	non Enzyme
Q7XPY1	non Enzyme
Q09883	non Enzyme
P38904	non Enzyme
Q62267	non Enzyme
P41901	non Enzyme
Q10178	non Enzyme
P38810	non Enzyme
P33303	non Enzyme
O14229	non Enzyme
O14259	non Enzyme
P42843	non Enzyme
Q08457	non Enzyme
Q9V3U9	non Enzyme
P53251	non Enzyme
Q90988	non Enzyme
Q8N5G0	non Enzyme
Q9BZL3	non Enzyme
P01172	non Enzyme
P30340	non Enzyme
P32364	non Enzyme
Q9SPE6	non Enzyme
B5DF41	non Enzyme
Q8WVK2	non Enzyme
Q9EPT5	non Enzyme
Q5JUK2	non Enzyme
P53953	non Enzyme
P35735	non Enzyme
P53075	non Enzyme
Q5ABV6	non Enzyme
Q6P7W2	non Enzyme
Q02774	non Enzyme
P44542	non Enzyme
Q19443	non Enzyme
P46954	non Enzyme
P40676	non Enzyme
Q82S91	non Enzyme
Q6P9I7	non Enzyme
B8GZ28	non Enzyme
Q04891	non Enzyme
P52934	non Enzyme
P19965	non Enzyme
P49782	non Enzyme
Q7YTY6	non Enzyme
P02976	non Enzyme
Q96P63	non Enzyme
Q95ZG3	non Enzyme
Q95ZG4	non Enzyme
Q5F289	non Enzyme
Q9VRV7	non Enzyme
O74458	non Enzyme
P43682	non Enzyme
P49874	non Enzyme
P18183	non Enzyme
A0QTP2	non Enzyme
O31654	non Enzyme
Q98SJ5	non Enzyme
Q61045	non Enzyme
Q9VXD1	non Enzyme
P39980	non Enzyme
P53135	non Enzyme
P38247	non Enzyme
P38241	non Enzyme
D2K6F1	non Enzyme
Q21305	non Enzyme
O42342	non Enzyme
P53032	non Enzyme
O43017	non Enzyme
Q8W475	non Enzyme
R0MLT0	non Enzyme
B3STP1	non Enzyme
Q04175	non Enzyme
Q9SVC2	non Enzyme
Q9P7R9	non Enzyme
Q6QM28	non Enzyme
O74252	non Enzyme
Q95L87	non Enzyme
Q9UBI4	non Enzyme
Q08DB2	non Enzyme
A0A0D1CVS5	non Enzyme
Q9W2E1	non Enzyme
Q20024	non Enzyme
P09386	non Enzyme
Q8WUJ0	non Enzyme
P25991	non Enzyme
Q8TC36	non Enzyme
Q9FFK1	non Enzyme
P41544	non Enzyme
Q8C6N3	non Enzyme
K8FE10	non Enzyme
Q7RTU9	non Enzyme
Q9ZVK6	non Enzyme
Q00737	non Enzyme
P12297	non Enzyme
P38326	non Enzyme
Q9CXK4	non Enzyme
Q1ZZU3	non Enzyme
Q10LI8	non Enzyme
Q2R3P9	non Enzyme
Q505B8	non Enzyme
O65359	non Enzyme
Q1RMW2	non Enzyme
O94416	non Enzyme
Q9NYW3	non Enzyme
Q9URQ3	non Enzyme
Q9URY8	non Enzyme
Q17374	non Enzyme
Q96L08	non Enzyme
P92946	non Enzyme
P43554	non Enzyme
Q8MSU4	non Enzyme
Q5VT97	non Enzyme
P97610	non Enzyme
Q8L706	non Enzyme
Q16563	non Enzyme
Q8N2H4	non Enzyme
Q9BQS2	non Enzyme
Q5QNP2	non Enzyme
Q9P1P5	non Enzyme
O14804	non Enzyme
Q5RFW2	non Enzyme
Q9U8X3	non Enzyme
Q9BSH4	non Enzyme
Q9P7N4	non Enzyme
Q9TYN3	non Enzyme
Q92537	non Enzyme
Q8N300	non Enzyme
P40688	non Enzyme
Q10210	non Enzyme
Q8VZL6	non Enzyme
O14308	non Enzyme
O42858	non Enzyme
B0SR19	non Enzyme
Q944M5	non Enzyme
Q6L568	non Enzyme
O13600	non Enzyme
Q19VE6	non Enzyme
P75869	non Enzyme
Q9D495	non Enzyme
Q07395	non Enzyme
Q9SU25	non Enzyme
O13722	non Enzyme
Q01995	non Enzyme
Q75005	non Enzyme
P05905	non Enzyme
Q8TBP0	non Enzyme
Q8IYX1	non Enzyme
Q9H987	non Enzyme
Q9H061	non Enzyme
P59533	non Enzyme
Q3U0X8	non Enzyme
O04173	non Enzyme
Q9C0D5	non Enzyme
B6A8C7	non Enzyme
L7VG99	non Enzyme
P36100	non Enzyme
Q9NYW6	non Enzyme
Q96RJ0	non Enzyme
P14213	non Enzyme
Q54K81	non Enzyme
P12508	non Enzyme
P09645	non Enzyme
Q5EPH2	non Enzyme
P56280	non Enzyme
D3GKW6	non Enzyme
P39079	non Enzyme
Q86YL5	non Enzyme
Q8LG88	non Enzyme
E1VBK4	non Enzyme
Q9ZVN9	non Enzyme
Q9Y103	non Enzyme
Q8N103	non Enzyme
Q54TA5	non Enzyme
A7MCY6	non Enzyme
Q6SJ96	non Enzyme
Q7SXL3	non Enzyme
Q5HDJ9	non Enzyme
Q8R3L2	non Enzyme
P38228	non Enzyme
A1YKT1	non Enzyme
Q9LSD5	non Enzyme
Q9FME3	non Enzyme
